S0	S1	S2	S3	S4
0.854845271351469	0.100160017357815	0.036451411678555	0.00659054541509587	0.00173578150850262
0.690263842437756	0.177071720549981	0.0979189892233371	0.0225442834138486	0.0110863371732937
0.473866923818708	0.31533269045323	0.133365477338476	0.0516875602700096	0.0241080038572806
0.258024859991804	0.468242043436689	0.16268269362109	0.0697992077585029	0.0412511951919137
0.0791220951678347	0.514570269273331	0.227591294725194	0.104758391737366	0.0737735153080044
0.0345738295318127	0.401440576230492	0.31500600240096	0.123889555822329	0.123169267707083
0.0259623992837959	0.256639809012235	0.304088331841241	0.22321695016413	0.188600417785736
0.00682704811443433	0.134590377113134	0.302990897269181	0.272756827048114	0.277308192457737
0.00939158840342997	0.0559412004899959	0.244589628419763	0.269497754185382	0.419354838709677
0.01242787394585	0.0355082112738571	0.157123834886818	0.269418553040391	0.522858411007545
0.00489977728285078	0.0133630289532294	0.142093541202673	0.24988864142539	0.588864142538975
0.00280741156653565	0.00224592925322852	0.124649073554183	0.238068500842223	0.632229084783829
0	0.011142061281337	0.0835654596100279	0.182451253481894	0.722841225626741
0	0	0.0263157894736842	0.157894736842105	0.815789473684211
0	0	0	0.226415094339623	0.773584905660377
